Date,T,WMT,TMUS,COST,NFLX_x,NFLX_y,DIS
2018-06-01,28.42404,82.28439300000001,59.75,205.04361,391.429993,391.429993,101.928246
2018-07-01,28.300108,85.723724,60.0,214.590332,337.450012,337.450012,110.43766000000001
2018-08-01,28.712856,92.09318499999999,66.040001,228.738708,367.679993,367.679993,109.81568899999999
2018-09-01,30.187157,90.74382800000001,70.18,231.027847,374.130005,374.130005,114.63888500000002
2018-10-01,27.580166,96.89904,68.550003,224.88034100000002,301.77999900000003,301.77999900000003,112.57040400000001
2018-11-01,28.501369,94.357727,68.449997,227.486893,286.130005,286.130005,113.21741499999999
2018-12-01,26.038063,90.009438,63.610001000000004,200.845337,267.660004,267.660004,107.49233999999998
2019-01-01,27.424812,93.104393,69.620003,211.611755,339.5,339.5,110.173546
2019-02-01,28.862472999999998,96.174522,72.209999,215.663971,358.100006,358.100006,111.477608
2019-03-01,29.085062,94.75604200000001,69.099998,239.379715,356.559998,356.559998,109.68946100000001
2019-04-01,28.714078999999998,100.452637,72.989998,242.731079,370.540009,370.540009,135.316269
2019-05-01,28.815361,99.085136,73.440002,236.848907,343.27999900000003,343.27999900000003,130.445786
2019-06-01,31.576280999999998,108.49836,74.139999,261.953094,367.320007,367.320007,137.954025
2019-07-01,32.085121,108.39034299999999,79.730003,273.223846,322.98999,322.98999,141.28333999999998
2019-08-01,33.72752,112.20040900000001,78.050003,292.18685899999997,293.75,293.75,136.44253500000002
2019-09-01,36.195384999999995,117.114395,78.769997,286.226624,267.619995,267.619995,129.543869
2019-10-01,36.817135,115.71313500000001,82.660004,295.167816,287.410004,287.410004,129.146255
2019-11-01,36.248622999999995,117.51898999999999,78.550003,298.497253,314.660004,314.660004,150.67726100000002
2019-12-01,37.897166999999996,117.272278,78.41999799999999,292.633057,323.570007,323.570007,143.768646
