Date,AAL,BAC,DAL,S&P500,WFC,JNJ,KO,MCD,PFE,SBUX,T,WMT,TMUS,COST,NFLX,DIS,CVX,XOM,CL,PG,PEP
2016-08-01,34.885143,14.928220000000001,33.615082,2170.949951,44.024696,107.228706,38.036602,104.374413,29.999828000000004,51.995243,33.130959000000004,64.834808,46.34,149.37039199999995,97.449997,89.765015,85.427963,73.112617,68.015877,77.948631,94.834145
2016-09-01,35.288368,14.542376,36.199764,2168.27002,38.682442,106.849602,37.064442,104.912727,29.440817,50.236988,32.912136,65.899979,46.720001,140.919937,98.550003,88.244537,88.336525,73.854568,67.83287800000001,80.127022,97.312119
2016-10-01,39.134322999999995,15.332217000000002,38.416256,2126.149902,40.193745,104.913948,37.437908,102.375381,27.563284000000003,49.244129,29.816240000000004,63.98109399999999,49.73,136.632553,124.870003,88.082977,89.907211,70.50367,65.289383,77.493324,95.907524
2016-11-01,44.7635,19.625239999999998,44.311588,2198.810059,46.23024,100.671822,35.627808,108.46862,27.937052,53.790882,31.688675,64.355736,54.209999,138.702332,117.0,94.193405,95.752243,73.871475,60.007263,74.186615,89.555428
2016-12-01,45.118092,21.535412,45.448677,2238.830078,48.544498,104.928543,37.398228,111.557556,27.829407,51.756142,33.124222,63.15871800000001,57.509998,148.39768999999995,123.800003,99.039902,102.033577,77.05246700000002,60.200451,75.64407299999998,94.300735
2017-01-01,42.760242,21.115707,43.646992,2278.8701170000004,49.619156,103.143471,37.015347,112.336578,27.855742,51.476482,34.584377,61.420444,62.27,151.956802,140.71000700000002,105.960678,96.528801,71.614571,59.409313,78.810913,93.534645
2017-02-01,44.799213,23.018364000000002,46.132385,2363.639893,50.984505,111.303864,37.36261,116.992455,29.953915,53.01461800000001,34.679291,65.276482,62.529999,164.21903999999995,142.130005,105.424408,97.525711,69.42063900000001,67.524826,82.581604,99.483078
2017-03-01,40.966808,22.001751000000002,42.632919,2362.719971,49.361973,114.18563799999998,37.790012,119.663155,30.338907,54.676838,34.480121999999994,66.334839,64.589996,155.841858,147.809998,108.584564,93.969482,70.649849,67.719139,81.47532700000002,100.816986
2017-04-01,41.27673,21.834934,42.150566,2384.199951,47.747906,113.195511,38.761356,129.191147,30.081717,56.240658,32.886818,69.696487,67.269997,164.97731000000005,152.199997,110.700897,93.383102,70.339722,66.65509,79.19019300000002,102.798065
2017-05-01,46.884246999999995,20.964904999999998,45.573440999999995,2411.800049,45.35342,117.577744,40.84539,139.31002800000002,28.955429,59.564899,32.355934000000005,72.86702,67.41999799999999,167.681686,163.070007,103.365532,90.564995,69.34903,71.03421800000002,80.490646,106.055885
2017-06-01,48.838978000000004,22.770153,50.054443,2423.409912,49.485039,122.085823,40.288448,141.405838,30.077398,54.826859,31.684122,70.629517,60.619999,155.086182,149.410004,101.747154,92.237732,70.203911,68.959755,79.63176,105.523384
2017-07-01,48.955448,22.638756,45.974838,2470.300049,48.172226,122.482674,41.516636,144.13176,29.692369,50.755501,32.750609999999995,74.651878,61.66,153.70921299999995,181.660004,105.271187,96.534447,69.603882,67.16436800000001,82.985153,106.546745
2017-08-01,43.42321,22.42287300000001,43.953655,2471.649902,45.609116,122.15963700000002,41.25399,148.619034,30.372887,51.582939,31.86701,72.860023,64.709999,151.99281299999996,174.71000700000005,97.632111,95.1464,66.377617,67.014549,84.97112299999998,105.742683
2017-09-01,46.185772,23.905485000000002,45.203083,2519.360107,49.610611,120.74491100000002,40.764915,146.426086,32.279007,50.72961,33.321693,73.384056,61.66,159.82351699999995,181.350006,95.094833,104.925018,71.981941,68.146408,83.783165,102.526245
2017-10-01,45.534168,25.839432000000002,46.899840999999995,2575.26001,50.501175,129.475037,41.974789,155.986572,31.700329,51.796913,28.625870000000006,81.995926,59.77,156.700775,196.429993,94.361626,103.487312,73.18486,65.901382,79.51018499999998,101.422127
